Date,Temperature (°C),Humidity (%)
2025-06-09 06:50:01,17.12,71
2025-06-09 07:00:01,17.22,71.5
2025-06-09 07:10:01,17.32,71.8
2025-06-09 07:20:02,17.52,71.6
2025-06-09 07:30:01,17.82,71.4
2025-06-09 07:40:01,18.01,71.3
2025-06-09 07:50:01,18.51,71.6
2025-06-09 08:00:01,19.10,68.9
2025-06-09 08:10:01,19.30,70
2025-06-09 08:20:01,19.10,70.1
2025-06-09 08:30:01,19.00,70.6
2025-06-09 08:40:01,19.20,70.8
2025-06-09 08:50:01,19.20,70.9
2025-06-09 09:00:01,19.10,74.2
2025-06-09 09:10:01,18.51,78
2025-06-09 09:20:01,18.31,81.7
2025-06-09 09:30:01,18.01,85.2
2025-06-09 09:40:01,17.72,88.2
2025-06-09 09:50:01,17.42,88.1
2025-06-09 10:00:01,17.42,88.3
2025-06-09 10:10:01,17.52,88.9
2025-06-09 10:20:01,17.42,88.6
2025-06-09 10:30:01,17.32,88.6
2025-06-09 10:40:01,17.32,89.6
2025-06-09 10:50:01,17.32,91.8
2025-06-09 11:00:01,17.42,90.7
2025-06-09 11:10:01,17.42,88.8
2025-06-09 11:20:01,17.42,88.7
2025-06-09 11:30:01,17.42,89.8
2025-06-09 11:40:01,17.32,90.1
2025-06-09 11:50:01,17.12,89.7
2025-06-09 12:00:01,17.22,91.9
2025-06-09 12:10:01,17.22,91.7
2025-06-09 12:20:01,17.32,92.5
2025-06-09 12:30:01,17.52,89.9
2025-06-09 12:40:01,17.52,91.5
2025-06-09 12:50:01,17.62,91.7
2025-06-09 13:00:01,17.72,90.9
2025-06-09 13:10:01,17.62,90.8
2025-06-09 13:20:01,17.72,92
2025-06-09 13:30:01,17.72,91.8
2025-06-09 13:40:01,17.62,90.5
2025-06-09 13:50:01,17.72,91.3
2025-06-09 14:00:01,17.52,91
2025-06-09 14:10:01,17.42,92.6
2025-06-09 14:20:02,17.32,94
2025-06-09 14:30:02,17.42,94.2
2025-06-09 14:40:01,17.62,93.1
2025-06-09 14:50:01,17.62,93.3
2025-06-09 15:00:01,17.82,93.6
2025-06-09 15:10:01,18.01,93.5
2025-06-09 15:20:01,17.91,93
2025-06-09 15:30:01,18.01,93
2025-06-09 15:40:01,17.91,93.9
2025-06-09 15:50:01,17.82,94
2025-06-09 16:00:01,17.72,94.4
2025-06-09 16:10:01,17.72,95.2
2025-06-09 16:20:01,17.72,95.1
2025-06-09 16:30:01,17.82,95.4
2025-06-09 16:40:01,17.82,95.3
2025-06-09 16:50:01,17.82,95.3
2025-06-09 17:00:01,17.82,94.7
2025-06-09 17:10:01,17.82,95.4
2025-06-09 17:20:01,17.72,96.5
2025-06-09 17:30:01,17.52,95.2
